"user_detail_name","text","text 2","text 3","text 4","text 5","content_wrap"
"ariel423","5分","超棒","景色5","趣味5","性价比5","台北101大厦是台北地标建筑，建筑风格独特，令人过目难忘。每逢佳节101还会放烟花，特别美。参观101可以坐电梯直达高层景观台，电梯非常快，可以俯瞰台北城景。让人最难忘的是台北101大厦内部可以看到大厦的风阻尼器，非常壮观。"
"君子如暖玉","5分","超棒","景色5","趣味5","性价比5","没想到101地方这么大，下面几层都是商场，就是去买票的地方路有一点绕，而且还经过了一家贵族级别的茶叶店TWG，我们两个大人买的是101和台北故宫博物院的联票，小朋友的也是600台币的票，因为故宫可以免票，听取了售票女孩的建议，买的是单人票，台北的夜色比我想象中的美太多！服务生态度都很好，也许是我们每次问问题时都是以：请问......开始的，有礼应该是相互的。"
"过年不回家","5分","超棒","景色5","趣味5","性价比5","台北第一高楼。之前在网上看101跨年的烟火表演挺震撼的。必须要来打个卡。
其实在网上买票换票要等很长时间，还不如在现场买票，要快一些。
排了2个小时队换票后，然后就等待上楼的时间。
可惜天气不好，看不到台湾的美景。
好在可以看到大楼里的减震球，可以科普一下，涨涨知识。"
"","5分","超棒","景色5","趣味5","性价比5","台北101景观台拥有世界最大、最重，且唯一外露供参观的风阻尼球。89层为室内观景层，91层为室外观景台，拥有全方位绝佳的观景视野。并设有纪念证书摄影服务等，南侧有7台40倍的望远镜设置于各角落"
"苦海无边，望不到岸","5分","超棒","景色5","趣味5","性价比5","高耸建筑，在西方象征对未知的崇仰、征服和追求。东方观点则代表着对未来更宽阔的了解和包容。TAIPEI101 以节节攀升的高度，象征祖国宝岛台湾在新世纪中的全新视界。"
"dlu808","5分","超棒","景色5","趣味5","性价比5","这一天上午逛了101大楼，中午和朋友在台北圆山大饭店吃饭，她又带我们穿街越巷去微热山丘买凤梨酥。小朋友当然最感兴趣微热山丘了，各种试吃，加上阿姨很喜欢她，各种引诱和宠溺，美得直冒泡。"
"Tom Hung","5分","超棒","景色5","趣味5","性价比5","台北101是位於臺灣臺北市信義區的摩天大樓，樓高508公尺（1,667英尺），地上101層、地下5層，總樓地板面積37萬1千平方公尺，由李祖原聯合建築師事務所設計，KTRT團隊承造，於1999年9月動工，2004年12月31日完工開幕。最初名稱為臺北國際金融中，2003年改為現名。興建與經營機構為台北金融大樓公司。其為台灣第一高樓、以及唯一樓層超過100層的建築物，曾於2004年12月31日至2010年1月4日間擁有世界第一高樓的紀錄，目前為世界第十二高樓（截至2019年）、地震帶最高摩天大廈以及世界最高的綠建築，完工以來即成為臺北重要地標之一。此外，大樓內擁有全球第二大、全球唯二開放給遊客觀賞的巨型阻尼器（另一為上海中心大廈）。2019年6月14日，開放標高460公尺的101樓上方之屋頂平台，該觀景台成為全球最高的戶外屋頂觀景步道。"
"观音莲","5分","超棒","景色5","趣味5","性价比5","台湾的最高建筑，也是世界级的高建筑，目前世界排名第八，在这里可以乘坐电梯登上第89层，然后步行上到91层，俯瞰台北的整个地形，也可以在这里欣赏美丽的日落。
     台湾101大楼与孙中山纪念馆距离不远，步行五分钟可以到达，可以安排这两个景点一起参观。"
"山羊开泰","4分","满意","景色4","趣味4","性价比4","由于出发时飞机晚点，到达台北桃园机场已近傍晚，旅游团先直接参观了台北101高楼。2010年以前，台北101是世界第一高楼，但现在已退居迪拜塔、上海中心大厦之后。101大楼多节式外观，以高科技巨型结构确保防灾防风的显著效益。每八层形成一组自主构成的空间，自然化解高层建筑引起之气流对地面造成的风场效应。另外在外观上别具一格，构思巧妙，形成有节奏的律动美感，开创了国际摩天楼的崭新风格。"
"qiuxg35","5分","超棒","景色5","趣味5","性价比5","一楼的鼎泰丰真是太棒了，不虚此行，在顶楼有望远镜，让我感受到了成熟悉景点的魅力，从五楼进到到购票处，有现金及贩卖机二种购票方式，来一趟感受一下，有个视频室可以播放盖楼时的情景！感叹！！还有一个露天平台可以观察看室外景色！"
